[1, 'type ->', '1', 'A man buys an article for 8100 and sells the article for 90. What is the profit percentage?', -98.88888888888889]
[199, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 25% after allowing a commission of 30%', 55.55555555555554]

[200, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 5% after allowing a commission of 45%', 11.111111111111114]

[201, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 95% after allowing a commission of 40%', 211.1111111111111]

[202, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 20% after allowing a commission of 25%', 44.44444444444446]

[203, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 95% after allowing a commission of 25%', 211.1111111111111]

[204, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 70% after allowing a commission of 10%', 155.55555555555554]

[205, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 85% after allowing a commission of 35%', 188.8888888888889]

[206, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 45% after allowing a commission of 20%', 100.0]

[207, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 35% after allowing a commission of 20%', 77.77777777777777]

[208, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 10% after allowing a commission of 35%', 22.22222222222223]

[209, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 45% after allowing a commission of 40%', 100.0]

[210, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 70% after allowing a commission of 45%', 155.55555555555554]

[211, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 95% after allowing a commission of 5%', 211.1111111111111]

[212, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 85% after allowing a commission of 35%', 188.8888888888889]

[213, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 30% after allowing a commission of 5%', 66.66666666666669]

[214, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 15% after allowing a commission of 45%', 33.33333333333334]

[215, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 40% after allowing a commission of 30%', 88.88888888888891]

[216, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 85% after allowing a commission of 20%', 188.8888888888889]

[217, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 10% after allowing a commission of 50%', 22.22222222222223]

[218, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 5% after allowing a commission of 50%', 11.111111111111114]

[219, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 80% after allowing a commission of 5%', 177.77777777777783]

[220, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 60% after allowing a commission of 5%', 133.33333333333337]

[221, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 40% after allowing a commission of 10%', 88.88888888888891]

[222, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 30% after allowing a commission of 5%', 66.66666666666669]

[223, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 90% after allowing a commission of 30%', 200.0]

[224, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 55% after allowing a commission of 35%', 122.22222222222229]

[225, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 55% after allowing a commission of 25%', 122.22222222222229]

[226, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 45% after allowing a commission of 45%', 100.0]

[227, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 45% after allowing a commission of 25%', 100.0]

[228, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 70% after allowing a commission of 30%', 155.55555555555554]

[229, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 65% after allowing a commission of 10%', 144.44444444444446]

[230, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 90% after allowing a commission of 20%', 200.0]

[231, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 15% after allowing a commission of 30%', 33.33333333333334]

[232, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 35% after allowing a commission of 10%', 77.77777777777777]

[233, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 40% after allowing a commission of 15%', 88.88888888888891]

[234, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 90% after allowing a commission of 10%', 200.0]

[235, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 10% after allowing a commission of 50%', 22.22222222222223]

[236, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 15% after allowing a commission of 5%', 33.33333333333334]

[237, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 55% after allowing a commission of 40%', 122.22222222222229]

[238, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 5% after allowing a commission of 20%', 11.111111111111114]

[239, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 75% after allowing a commission of 10%', 166.66666666666674]

[240, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 25% after allowing a commission of 5%', 55.55555555555554]

[241, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 15% after allowing a commission of 35%', 33.33333333333334]

[242, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 40% after allowing a commission of 15%', 88.88888888888891]

[243, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 45% after allowing a commission of 15%', 100.0]

[244, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 50% after allowing a commission of 10%', 111.11111111111109]

[245, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 90% after allowing a commission of 10%', 200.0]

[246, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 85% after allowing a commission of 5%', 188.8888888888889]

[247, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 5% after allowing a commission of 25%', 11.111111111111114]

[248, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 65% after allowing a commission of 10%', 144.44444444444446]

[249, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 60% after allowing a commission of 45%', 133.33333333333337]

[250, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 80% after allowing a commission of 20%', 177.77777777777783]

[251, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 25% after allowing a commission of 45%', 55.55555555555554]

[252, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 40% after allowing a commission of 25%', 88.88888888888891]

[253, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 85% after allowing a commission of 20%', 188.8888888888889]

[254, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 55% after allowing a commission of 45%', 122.22222222222229]

[255, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 30% after allowing a commission of 50%', 66.66666666666669]

[256, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 65% after allowing a commission of 30%', 144.44444444444446]

[257, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 95% after allowing a commission of 45%', 211.1111111111111]

[258, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 50% after allowing a commission of 45%', 111.11111111111109]

[259, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 75% after allowing a commission of 50%', 166.66666666666674]

[260, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 45% after allowing a commission of 35%', 100.0]

[261, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 40% after allowing a commission of 15%', 88.88888888888891]

[262, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 30% after allowing a commission of 10%', 66.66666666666669]

[263, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 60% after allowing a commission of 10%', 133.33333333333337]

[264, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 45% after allowing a commission of 15%', 100.0]

[265, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 45% after allowing a commission of 20%', 100.0]

[266, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 95% after allowing a commission of 5%', 211.1111111111111]

[267, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 65% after allowing a commission of 10%', 144.44444444444446]

[268, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 50% after allowing a commission of 50%', 111.11111111111109]

[269, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 50% after allowing a commission of 15%', 111.11111111111109]

[270, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 40% after allowing a commission of 35%', 88.88888888888891]

[271, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 10% after allowing a commission of 35%', 22.22222222222223]

[272, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 50% after allowing a commission of 45%', 111.11111111111109]

[273, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 20% after allowing a commission of 20%', 44.44444444444446]

[274, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 75% after allowing a commission of 10%', 166.66666666666674]

[275, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 30% after allowing a commission of 45%', 66.66666666666669]

[276, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 45% after allowing a commission of 20%', 100.0]

[277, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 95% after allowing a commission of 50%', 211.1111111111111]

[278, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 85% after allowing a commission of 30%', 188.8888888888889]

[279, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 70% after allowing a commission of 5%', 155.55555555555554]

[280, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 95% after allowing a commission of 40%', 211.1111111111111]

[281, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 45% after allowing a commission of 50%', 100.0]

[282, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 25% after allowing a commission of 10%', 55.55555555555554]

[283, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 60% after allowing a commission of 20%', 133.33333333333337]

[284, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 35% after allowing a commission of 5%', 77.77777777777777]

[285, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 100% after allowing a commission of 15%', 222.22222222222217]

[286, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 65% after allowing a commission of 15%', 144.44444444444446]

[287, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 40% after allowing a commission of 50%', 88.88888888888891]

[288, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 15% after allowing a commission of 25%', 33.33333333333334]

[289, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 20% after allowing a commission of 10%', 44.44444444444446]

[290, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 100% after allowing a commission of 40%', 222.22222222222217]

[291, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 95% after allowing a commission of 10%', 211.1111111111111]

[292, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 40% after allowing a commission of 40%', 88.88888888888891]

[293, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 20% after allowing a commission of 10%', 44.44444444444446]

[294, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 95% after allowing a commission of 40%', 211.1111111111111]

[295, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 85% after allowing a commission of 25%', 188.8888888888889]

[296, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 80% after allowing a commission of 15%', 177.77777777777783]

[297, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 90% after allowing a commission of 15%', 200.0]

[298, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 75% after allowing a commission of 10%', 166.66666666666674]

[299, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 85% after allowing a commission of 15%', 188.8888888888889]

[300, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 35% after allowing a commission of 5%', 77.77777777777777]

[301, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 45% after allowing a commission of 15%', 100.0]

[302, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 75% after allowing a commission of 25%', 166.66666666666674]

[303, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 85% after allowing a commission of 35%', 188.8888888888889]

[304, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 10% after allowing a commission of 40%', 22.22222222222223]

[305, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 25% after allowing a commission of 50%', 55.55555555555554]

[306, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 5% after allowing a commission of 20%', 11.111111111111114]

[307, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 75% after allowing a commission of 20%', 166.66666666666674]

[308, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 70% after allowing a commission of 5%', 155.55555555555554]

[309, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 85% after allowing a commission of 40%', 188.8888888888889]

[310, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 55% after allowing a commission of 10%', 122.22222222222229]

[311, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 10% after allowing a commission of 30%', 22.22222222222223]

[312, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 5% after allowing a commission of 20%', 11.111111111111114]

[313, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 95% after allowing a commission of 30%', 211.1111111111111]

[314, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 65% after allowing a commission of 35%', 144.44444444444446]

[315, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 20% after allowing a commission of 40%', 44.44444444444446]

[316, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 80% after allowing a commission of 40%', 177.77777777777783]

[317, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 55% after allowing a commission of 40%', 122.22222222222229]

[318, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 5% after allowing a commission of 30%', 11.111111111111114]

[319, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 100% after allowing a commission of 20%', 222.22222222222217]

[320, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 75% after allowing a commission of 15%', 166.66666666666674]

[321, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 80% after allowing a commission of 40%', 177.77777777777783]

[322, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 85% after allowing a commission of 30%', 188.8888888888889]

[323, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 55% after allowing a commission of 40%', 122.22222222222229]

[324, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 5% after allowing a commission of 40%', 11.111111111111114]

[325, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 95% after allowing a commission of 40%', 211.1111111111111]

[326, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 90% after allowing a commission of 20%', 200.0]

[327, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 10% after allowing a commission of 25%', 22.22222222222223]

[328, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 50% after allowing a commission of 10%', 111.11111111111109]

[329, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 50% after allowing a commission of 20%', 111.11111111111109]

[330, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 20% after allowing a commission of 20%', 44.44444444444446]

[331, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 60% after allowing a commission of 15%', 133.33333333333337]

[332, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 90% after allowing a commission of 10%', 200.0]

[333, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 90% after allowing a commission of 10%', 200.0]

[334, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 75% after allowing a commission of 15%', 166.66666666666674]

[335, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 40% after allowing a commission of 10%', 88.88888888888891]

[336, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 80% after allowing a commission of 10%', 177.77777777777783]

[337, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 45% after allowing a commission of 15%', 100.0]

[338, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 80% after allowing a commission of 10%', 177.77777777777783]

[339, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 20% after allowing a commission of 15%', 44.44444444444446]

[340, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 85% after allowing a commission of 30%', 188.8888888888889]

[341, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 40% after allowing a commission of 45%', 88.88888888888891]

[342, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 90% after allowing a commission of 10%', 200.0]

[343, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 35% after allowing a commission of 35%', 77.77777777777777]

[344, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 40% after allowing a commission of 35%', 88.88888888888891]

[345, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 60% after allowing a commission of 10%', 133.33333333333337]

[346, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 60% after allowing a commission of 30%', 133.33333333333337]

[347, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 70% after allowing a commission of 30%', 155.55555555555554]

[348, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 15% after allowing a commission of 20%', 33.33333333333334]

[349, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 80% after allowing a commission of 50%', 177.77777777777783]

[350, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 20% after allowing a commission of 40%', 44.44444444444446]

[351, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 100% after allowing a commission of 10%', 222.22222222222217]

[352, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 75% after allowing a commission of 10%', 166.66666666666674]

[353, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 30% after allowing a commission of 20%', 66.66666666666669]

[354, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 5% after allowing a commission of 15%', 11.111111111111114]

[355, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 35% after allowing a commission of 15%', 77.77777777777777]

[356, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 35% after allowing a commission of 15%', 77.77777777777777]

[357, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 25% after allowing a commission of 45%', 55.55555555555554]

[358, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 95% after allowing a commission of 40%', 211.1111111111111]

[359, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 15% after allowing a commission of 45%', 33.33333333333334]

[360, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 85% after allowing a commission of 20%', 188.8888888888889]

[361, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 70% after allowing a commission of 50%', 155.55555555555554]

[362, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 80% after allowing a commission of 25%', 177.77777777777783]

[363, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 25% after allowing a commission of 5%', 55.55555555555554]

[364, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 5% after allowing a commission of 30%', 11.111111111111114]

[365, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 45% after allowing a commission of 25%', 100.0]

[366, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 25% after allowing a commission of 25%', 55.55555555555554]

[367, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 30% after allowing a commission of 30%', 66.66666666666669]

[368, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 80% after allowing a commission of 50%', 177.77777777777783]

[369, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 40% after allowing a commission of 10%', 88.88888888888891]

[370, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 85% after allowing a commission of 35%', 188.8888888888889]

