[1, 'type ->', '1', 'A man buys an article for 8100 and sells the article for 90. What is the profit percentage?', -98.88888888888889]
[371, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 15% after allowing a commission of 5%', 33.33333333333334]

[372, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 100% after allowing a commission of 50%', 222.22222222222217]

[373, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 20% after allowing a commission of 35%', 44.44444444444446]

[374, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 85% after allowing a commission of 35%', 188.8888888888889]

[375, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 100% after allowing a commission of 10%', 222.22222222222217]

[376, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 40% after allowing a commission of 20%', 88.88888888888891]

[377, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 5% after allowing a commission of 15%', 11.111111111111114]

[378, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 50% after allowing a commission of 30%', 111.11111111111109]

[379, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 35% after allowing a commission of 50%', 77.77777777777777]

[380, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 35% after allowing a commission of 50%', 77.77777777777777]

[381, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 5% after allowing a commission of 15%', 11.111111111111114]

[382, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 95% after allowing a commission of 35%', 211.1111111111111]

[383, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 20% after allowing a commission of 25%', 44.44444444444446]

[384, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 60% after allowing a commission of 50%', 133.33333333333337]

[385, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 50% after allowing a commission of 15%', 111.11111111111109]

[386, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 95% after allowing a commission of 45%', 211.1111111111111]

[387, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 55% after allowing a commission of 10%', 122.22222222222229]

[388, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 30% after allowing a commission of 20%', 66.66666666666669]

[389, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 35% after allowing a commission of 20%', 77.77777777777777]

[390, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 55% after allowing a commission of 40%', 122.22222222222229]

[391, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 85% after allowing a commission of 15%', 188.8888888888889]

[392, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 70% after allowing a commission of 50%', 155.55555555555554]

[393, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 30% after allowing a commission of 5%', 66.66666666666669]

[394, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 85% after allowing a commission of 10%', 188.8888888888889]

[395, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 90% after allowing a commission of 20%', 200.0]

[396, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 70% after allowing a commission of 15%', 155.55555555555554]

[397, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 15% after allowing a commission of 20%', 33.33333333333334]

[398, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 50% after allowing a commission of 15%', 111.11111111111109]

[399, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 95% after allowing a commission of 35%', 211.1111111111111]

[400, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 35% after allowing a commission of 30%', 77.77777777777777]

[401, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 70% after allowing a commission of 40%', 155.55555555555554]

[402, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 10% after allowing a commission of 35%', 22.22222222222223]

[403, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 100% after allowing a commission of 10%', 222.22222222222217]

[404, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 60% after allowing a commission of 30%', 133.33333333333337]

[405, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 60% after allowing a commission of 35%', 133.33333333333337]

[406, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 50% after allowing a commission of 15%', 111.11111111111109]

[407, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 65% after allowing a commission of 15%', 144.44444444444446]

[408, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 95% after allowing a commission of 10%', 211.1111111111111]

[409, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 70% after allowing a commission of 40%', 155.55555555555554]

[410, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 65% after allowing a commission of 35%', 144.44444444444446]

[411, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 55% after allowing a commission of 5%', 122.22222222222229]

[412, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 20% after allowing a commission of 20%', 44.44444444444446]

[413, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 65% after allowing a commission of 10%', 144.44444444444446]

[414, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 30% after allowing a commission of 15%', 66.66666666666669]

[415, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 40% after allowing a commission of 30%', 88.88888888888891]

[416, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 95% after allowing a commission of 40%', 211.1111111111111]

[417, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 10% after allowing a commission of 40%', 22.22222222222223]

[418, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 60% after allowing a commission of 35%', 133.33333333333337]

[419, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 60% after allowing a commission of 40%', 133.33333333333337]

[420, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 65% after allowing a commission of 15%', 144.44444444444446]

[421, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 5% after allowing a commission of 5%', 11.111111111111114]

[422, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 60% after allowing a commission of 35%', 133.33333333333337]

[423, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 35% after allowing a commission of 40%', 77.77777777777777]

[424, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 25% after allowing a commission of 25%', 55.55555555555554]

[425, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 25% after allowing a commission of 25%', 55.55555555555554]

[426, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 40% after allowing a commission of 50%', 88.88888888888891]

[427, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 35% after allowing a commission of 15%', 77.77777777777777]

[428, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 40% after allowing a commission of 25%', 88.88888888888891]

[429, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 35% after allowing a commission of 5%', 77.77777777777777]

[430, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 15% after allowing a commission of 10%', 33.33333333333334]

[431, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 85% after allowing a commission of 50%', 188.8888888888889]

[432, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 70% after allowing a commission of 45%', 155.55555555555554]

[433, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 95% after allowing a commission of 10%', 211.1111111111111]

[434, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 35% after allowing a commission of 20%', 77.77777777777777]

[435, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 40% after allowing a commission of 35%', 88.88888888888891]

[436, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 75% after allowing a commission of 40%', 166.66666666666674]

[437, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 5% after allowing a commission of 15%', 11.111111111111114]

[438, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 75% after allowing a commission of 45%', 166.66666666666674]

[439, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 35% after allowing a commission of 15%', 77.77777777777777]

[440, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 100% after allowing a commission of 35%', 222.22222222222217]

[441, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 55% after allowing a commission of 40%', 122.22222222222229]

[442, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 80% after allowing a commission of 5%', 177.77777777777783]

[443, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 95% after allowing a commission of 5%', 211.1111111111111]

[444, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 70% after allowing a commission of 25%', 155.55555555555554]

[445, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 30% after allowing a commission of 30%', 66.66666666666669]

[446, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 35% after allowing a commission of 50%', 77.77777777777777]

[447, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 45% after allowing a commission of 40%', 100.0]

[448, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 50% after allowing a commission of 10%', 111.11111111111109]

[449, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 75% after allowing a commission of 40%', 166.66666666666674]

[450, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 75% after allowing a commission of 35%', 166.66666666666674]

[451, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 60% after allowing a commission of 50%', 133.33333333333337]

[452, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 95% after allowing a commission of 25%', 211.1111111111111]

[453, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 40% after allowing a commission of 5%', 88.88888888888891]

[454, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 75% after allowing a commission of 15%', 166.66666666666674]

[455, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 90% after allowing a commission of 15%', 200.0]

[456, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 70% after allowing a commission of 15%', 155.55555555555554]

[457, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 35% after allowing a commission of 25%', 77.77777777777777]

[458, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 90% after allowing a commission of 15%', 200.0]

[459, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 35% after allowing a commission of 45%', 77.77777777777777]

[460, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 65% after allowing a commission of 40%', 144.44444444444446]

[461, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 95% after allowing a commission of 20%', 211.1111111111111]

[462, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 15% after allowing a commission of 40%', 33.33333333333334]

[463, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 70% after allowing a commission of 15%', 155.55555555555554]

[464, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 75% after allowing a commission of 10%', 166.66666666666674]

[465, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 15% after allowing a commission of 15%', 33.33333333333334]

[466, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 100% after allowing a commission of 45%', 222.22222222222217]

[467, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 60% after allowing a commission of 30%', 133.33333333333337]

[468, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 75% after allowing a commission of 15%', 166.66666666666674]

[469, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 75% after allowing a commission of 10%', 166.66666666666674]

[470, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 10% after allowing a commission of 30%', 22.22222222222223]

[471, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 55% after allowing a commission of 45%', 122.22222222222229]

[472, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 55% after allowing a commission of 30%', 122.22222222222229]

[473, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 95% after allowing a commission of 25%', 211.1111111111111]

[474, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 90% after allowing a commission of 25%', 200.0]

[475, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 50% after allowing a commission of 15%', 111.11111111111109]

[476, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 70% after allowing a commission of 45%', 155.55555555555554]

[477, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 50% after allowing a commission of 20%', 111.11111111111109]

[478, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 80% after allowing a commission of 5%', 177.77777777777783]

[479, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 60% after allowing a commission of 40%', 133.33333333333337]

[480, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 20% after allowing a commission of 35%', 44.44444444444446]

[481, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 100% after allowing a commission of 35%', 222.22222222222217]

[482, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 30% after allowing a commission of 35%', 66.66666666666669]

[483, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 45% after allowing a commission of 30%', 100.0]

[484, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 50% after allowing a commission of 50%', 111.11111111111109]

[485, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 30% after allowing a commission of 25%', 66.66666666666669]

[486, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 25% after allowing a commission of 10%', 55.55555555555554]

[487, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 45% after allowing a commission of 25%', 100.0]

[488, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 70% after allowing a commission of 40%', 155.55555555555554]

[489, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 15% after allowing a commission of 25%', 33.33333333333334]

[490, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 20% after allowing a commission of 40%', 44.44444444444446]

[491, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 55% after allowing a commission of 35%', 122.22222222222229]

[492, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 45% after allowing a commission of 35%', 100.0]

[493, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 90% after allowing a commission of 20%', 200.0]

[494, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 25% after allowing a commission of 45%', 55.55555555555554]

[495, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 35% after allowing a commission of 25%', 77.77777777777777]

[496, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 45% after allowing a commission of 40%', 100.0]

[497, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 30% after allowing a commission of 5%', 66.66666666666669]

[498, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 90% after allowing a commission of 20%', 200.0]

[499, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 80% after allowing a commission of 30%', 177.77777777777783]

[500, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 30% after allowing a commission of 35%', 66.66666666666669]

[501, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 70% after allowing a commission of 25%', 155.55555555555554]

[502, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 90% after allowing a commission of 30%', 200.0]

[503, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 45% after allowing a commission of 35%', 100.0]

[504, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 75% after allowing a commission of 20%', 166.66666666666674]

[505, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 45% after allowing a commission of 10%', 100.0]

[506, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 55% after allowing a commission of 50%', 122.22222222222229]

[507, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 10% after allowing a commission of 40%', 22.22222222222223]

[508, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 35% after allowing a commission of 5%', 77.77777777777777]

[509, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 80% after allowing a commission of 5%', 177.77777777777783]

[510, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 100% after allowing a commission of 50%', 222.22222222222217]

[511, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 65% after allowing a commission of 10%', 144.44444444444446]

[512, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 65% after allowing a commission of 5%', 144.44444444444446]

[513, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 25% after allowing a commission of 15%', 55.55555555555554]

[514, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 100% after allowing a commission of 15%', 222.22222222222217]

[515, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 100% after allowing a commission of 40%', 222.22222222222217]

[516, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 65% after allowing a commission of 15%', 144.44444444444446]

[517, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 55% after allowing a commission of 25%', 122.22222222222229]

[518, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 90% after allowing a commission of 5%', 200.0]

[519, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 25% after allowing a commission of 30%', 55.55555555555554]

[520, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 5% after allowing a commission of 30%', 11.111111111111114]

[521, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 40% after allowing a commission of 35%', 88.88888888888891]

[522, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 45% after allowing a commission of 10%', 100.0]

[523, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 15% after allowing a commission of 10%', 33.33333333333334]

[524, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 100% after allowing a commission of 15%', 222.22222222222217]

[525, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 60% after allowing a commission of 40%', 133.33333333333337]

[526, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 35% after allowing a commission of 15%', 77.77777777777777]

[527, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 65% after allowing a commission of 40%', 144.44444444444446]

[528, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 45% after allowing a commission of 50%', 100.0]

[529, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 80% after allowing a commission of 5%', 177.77777777777783]

[530, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 45% after allowing a commission of 5%', 100.0]

[531, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 75% after allowing a commission of 40%', 166.66666666666674]

[532, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 10% after allowing a commission of 15%', 22.22222222222223]

[533, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 50% after allowing a commission of 30%', 111.11111111111109]

[534, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 35% after allowing a commission of 30%', 77.77777777777777]

[535, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 60% after allowing a commission of 15%', 133.33333333333337]

[536, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 20% after allowing a commission of 45%', 44.44444444444446]

[537, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 35% after allowing a commission of 10%', 77.77777777777777]

[538, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 70% after allowing a commission of 35%', 155.55555555555554]

[539, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 20% after allowing a commission of 25%', 44.44444444444446]

[540, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 15% after allowing a commission of 30%', 33.33333333333334]

[541, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 95% after allowing a commission of 45%', 211.1111111111111]

[542, 'type ->', '7', 'By what percent must the cost price be raised in fixing the sale price in order that there may be a profit of 40% after allowing a commission of 25%', 88.88888888888891]

